start,end,duration_min,state,top_variables,severity
2018-04-24 01:40:00,2018-04-24 01:45:00,10,2,"Cyclone_Gas_Outlet_Temp,Cyclone_Material_Temp,Cyclone_Inlet_Gas_Temp",1.7701760474685742
2018-04-24 03:00:00,2018-04-24 03:05:00,10,2,"Cyclone_Gas_Outlet_Temp,Cyclone_Outlet_Gas_draft,Cyclone_Material_Temp",2.0084209547282534
2018-04-24 13:00:00,2018-04-24 13:10:00,15,2,"Cyclone_Gas_Outlet_Temp,Cyclone_Outlet_Gas_draft,Cyclone_Inlet_Gas_Temp",1.9098490584530265
2018-04-24 19:20:00,2018-04-24 20:05:00,50,2,"Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Gas_Temp,Cyclone_Material_Temp",2.3459679255342984
2018-04-25 10:10:00,2018-04-25 10:45:00,40,2,"Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Draft,Cyclone_cone_draft",1.7913465485733415
2018-04-25 17:10:00,2018-04-25 17:30:00,25,2,"Cyclone_Outlet_Gas_draft,Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Draft",2.642484715078829
2018-04-25 17:45:00,2018-04-25 18:05:00,25,2,"Cyclone_Outlet_Gas_draft,Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Draft",2.2392732488552123
2018-05-01 18:05:00,2018-05-01 18:10:00,10,3,"Cyclone_Gas_Outlet_Temp,Cyclone_Material_Temp,Cyclone_Inlet_Gas_Temp",2.4167693902059724
2018-05-05 10:45:00,2018-05-05 10:50:00,10,2,"Cyclone_Gas_Outlet_Temp,Cyclone_Material_Temp,Cyclone_Inlet_Gas_Temp",1.6260751831402096
2018-05-06 15:50:00,2018-05-06 18:00:00,135,2,"Cyclone_Material_Temp,Cyclone_cone_draft,Cyclone_Gas_Outlet_Temp",2.21197795583436
2018-05-06 22:05:00,2018-05-06 22:30:00,30,1,"Cyclone_cone_draft,Cyclone_Gas_Outlet_Temp,Cyclone_Outlet_Gas_draft",1.9150085151142084
2018-05-06 23:15:00,2018-05-06 23:25:00,15,1,"Cyclone_cone_draft,Cyclone_Outlet_Gas_draft,Cyclone_Inlet_Draft",1.4893432931084265
2018-05-06 23:45:00,2018-05-07 03:55:00,255,1,"Cyclone_cone_draft,Cyclone_Outlet_Gas_draft,Cyclone_Inlet_Draft",1.9117121510281148
2018-05-07 05:40:00,2018-05-07 05:45:00,10,1,"Cyclone_Inlet_Draft,Cyclone_Outlet_Gas_draft,Cyclone_Gas_Outlet_Temp",2.4421650543974223
2018-05-07 22:40:00,2018-05-07 22:55:00,20,2,"Cyclone_Gas_Outlet_Temp,Cyclone_cone_draft,Cyclone_Inlet_Gas_Temp",1.8589643776507672
2018-05-07 23:25:00,2018-05-07 23:55:00,35,2,"Cyclone_Gas_Outlet_Temp,Cyclone_cone_draft,Cyclone_Material_Temp",1.8729460667537368
2018-05-08 11:35:00,2018-05-08 13:20:00,110,1,"Cyclone_Gas_Outlet_Temp,Cyclone_cone_draft,Cyclone_Inlet_Gas_Temp",2.1539038042551732
2018-05-08 14:10:00,2018-05-08 14:30:00,25,1,"Cyclone_Gas_Outlet_Temp,Cyclone_cone_draft,Cyclone_Inlet_Gas_Temp",1.7636087385375647
2018-05-09 06:20:00,2018-05-09 06:25:00,10,1,"Cyclone_Gas_Outlet_Temp,Cyclone_cone_draft,Cyclone_Inlet_Gas_Temp",2.3986345948433656
2018-05-09 07:50:00,2018-05-09 08:35:00,50,1,"Cyclone_Gas_Outlet_Temp,Cyclone_cone_draft,Cyclone_Inlet_Draft",2.086200369652711
2018-05-09 08:55:00,2018-05-09 10:50:00,120,1,"Cyclone_Gas_Outlet_Temp,Cyclone_cone_draft,Cyclone_Material_Temp",1.9422240524432073
2018-05-10 04:30:00,2018-05-10 04:45:00,20,2,"Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Draft,Cyclone_Outlet_Gas_draft",1.540395645218137
2018-05-10 05:00:00,2018-05-10 05:05:00,10,2,"Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Draft,Cyclone_Outlet_Gas_draft",1.765556460471297
2018-05-10 05:25:00,2018-05-10 05:30:00,10,2,"Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Draft,Cyclone_Outlet_Gas_draft",1.7649939056620816
2018-05-10 05:45:00,2018-05-10 05:50:00,10,2,"Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Draft,Cyclone_Outlet_Gas_draft",1.7393803512435968
2018-05-10 09:25:00,2018-05-10 09:30:00,10,2,"Cyclone_Gas_Outlet_Temp,Cyclone_cone_draft,Cyclone_Outlet_Gas_draft",1.6094234296302472
2018-05-10 10:10:00,2018-05-10 12:20:00,135,2,"Cyclone_Gas_Outlet_Temp,Cyclone_cone_draft,Cyclone_Outlet_Gas_draft",2.3987311593522986
2018-05-10 12:55:00,2018-05-10 13:05:00,15,2,"Cyclone_cone_draft,Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Gas_Temp",1.7172899319274075
2018-05-10 20:45:00,2018-05-10 20:55:00,15,2,"Cyclone_Inlet_Draft,Cyclone_Outlet_Gas_draft,Cyclone_Gas_Outlet_Temp",1.8120918674444386
2018-05-10 21:10:00,2018-05-10 21:25:00,20,2,"Cyclone_Inlet_Draft,Cyclone_Outlet_Gas_draft,Cyclone_cone_draft",1.8449862805655803
2018-05-10 21:45:00,2018-05-10 21:50:00,10,2,"Cyclone_Inlet_Draft,Cyclone_Outlet_Gas_draft,Cyclone_cone_draft",1.7691856043455518
2018-05-10 22:25:00,2018-05-10 23:10:00,50,2,"Cyclone_Inlet_Draft,Cyclone_Outlet_Gas_draft,Cyclone_cone_draft",1.8300045434555692
2018-05-11 23:25:00,2018-05-11 23:35:00,15,2,"Cyclone_Inlet_Draft,Cyclone_Gas_Outlet_Temp,Cyclone_Outlet_Gas_draft",1.9117516059652473
2018-05-12 10:30:00,2018-05-12 10:40:00,15,0,"Cyclone_Material_Temp,Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Gas_Temp",1.735827751963915
2018-05-14 22:20:00,2018-05-14 22:35:00,20,2,"Cyclone_Inlet_Draft,Cyclone_cone_draft,Cyclone_Outlet_Gas_draft",1.74293101580397
2018-05-17 21:15:00,2018-05-17 22:05:00,55,4,"Cyclone_Inlet_Draft,Cyclone_cone_draft,Cyclone_Outlet_Gas_draft",1.4990494241550376
2018-05-17 22:50:00,2018-05-17 23:00:00,15,0,"Cyclone_Inlet_Draft,Cyclone_Inlet_Gas_Temp,Cyclone_Outlet_Gas_draft",2.603820848153308
2018-05-18 06:05:00,2018-05-18 09:00:00,180,2,"Cyclone_Inlet_Draft,Cyclone_Gas_Outlet_Temp,Cyclone_cone_draft",1.9317726265112893
2018-05-18 13:25:00,2018-05-18 18:20:00,300,2,"Cyclone_Inlet_Draft,Cyclone_Gas_Outlet_Temp,Cyclone_cone_draft",2.332048198494475
2018-05-20 07:35:00,2018-05-20 07:40:00,10,2,"Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Draft,Cyclone_Outlet_Gas_draft",1.827656362696189
2018-05-20 12:30:00,2018-05-20 12:35:00,10,2,"Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Draft,Cyclone_Outlet_Gas_draft",2.0022685473983164
2018-05-20 13:50:00,2018-05-20 13:55:00,10,2,"Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Draft,Cyclone_Outlet_Gas_draft",1.7184372828813252
